"","object_id","Ref_no","nrcs_plants_code","taxa","Zone"
"10",37,"OR020-1228","ELEL5","Elymus elymoides","2"
"3.1",18,"NV010-4","ACHY","Eriocoma hymenoides","21"
"5.1",21,"NV040-371","ACHY","Eriocoma hymenoides","22"
"15.2",51,"OR020-1227","LECI4","Leymus cinereus","8"
"11.3",40,"OR020-1225","POSE","Poa secunda","6"
"12.3",43,"NV010-6","POSE","Poa secunda","8"
"1.3",4,"UT040-27","POSE","Poa secunda","8"
"13.4",46,"NV010-8","PSSP6","Pseudoroegneria spicata","2b"
"4.4",20,"NV040-370","PSSP6","Pseudoroegneria spicata","4"
"16.4",57,"NV010-11","PSSP6","Pseudoroegneria spicata","5"
"2.5",9,"UT040-28","SPPA2","Sphaeralcea parvifolia","6"
"7.2",24,"NV060-19","SPPA2","Sphaeralcea parvifolia","6"
