PLANTS_code,Range,Range_Code
ASLO3,Colorado Plateau,CP
BOGR2,Colorado Plateau,CP
HEMU3,Colorado Plateau,CP
KOMA,Colorado Plateau,CP
ELEL5,Colorado Plateau,CP
ELGL,Blue Mountains,BM
ELEL5,Western US,WUS
LECI4,Columbia Basin - Great Basin,CB - GB
BRCA5,Blue Mountains,BM
KOMA,Columbia Basin - Great Basin,CB - GB
PSSP6,Western US,WUS
POSE,Western US,WUS
ALAC4,Western US,WUS
ACHY,Western US,WUS
HODI,Western US,WUS
ACHT7,Western US,WUS
ARTRV,Western US,WUS
ARTRW8,Western US,WUS
ARTRT,Western US,WUS
SPAM2,Mojave Desert,MD
EPNE,Mojave Desert,MD
MACA3,Colorado Plateau,CP
CLLU2,Colorado Plateau,CP
SPPA2,Colorado Plateau - Great Basin,CP - GB
SPCR,Colorado Plateau,CP
PLJA,Colorado Plateau - Great Basin - Mojave Desert - Western Plains,CP - GB - MD - WP
