Trait,Count,Characteristic
Filename-Binomial,2,common_name
Filename-Binomial,8,USDA_PLANTS_code_lower
Filename-Binomial,12,USDA_PLANTS_code_upper
Filename-Binomial,2,spelled_out
Filename-Geographic Extent,6,Specified
Filename-Geographic Extent,18,Not-specified
Filename-seedzone,2,seed_zone
Filename-seedzone,6,zone
Filename-seedzone,15,missing
Filename-seedzone,1,sz
Filename-Resolution,3,Specified
Filename-Resolution,21,Not-specified
Filename-Binomial-NoSpecies,1,two_species
Filename-Binomial-NoSpecies,23,one_species
Filename-Coordinate_reference_system,,Specified
Filename-Coordinate_reference_system,,Not-specified
